category_rev,FAI,Data
0.06,FAI66,41.09
0.06,FAI66,1.3009
0.06,FAI66,3.8075
0.06,FAI66,41.2272
0.06,FAI66,41.2146
0.06,FAI66,0.0527
0.06,FAI66,1.0
0.06,FAI67,78.73
0.06,FAI67,0.08
0.06,FAI67,-0.08
0.06,FAI67,78.81
0.06,FAI67,78.65
0.06,FAI67,5.4275
0.06,FAI67,5.774
0.06,FAI67,78.7387
0.06,FAI67,78.7297
0.06,FAI67,0.0048
0.06,FAI67,1.0
0.06,FAI68,77.03
0.06,FAI68,0.08
0.06,FAI68,-0.08
0.06,FAI68,77.11
0.06,FAI68,76.95
0.06,FAI68,3.3357
0.06,FAI68,3.7924
0.06,FAI68,77.0252
0.06,FAI68,77.0123
0.06,FAI68,-0.0096
0.06,FAI68,1.0
0.06,FAI69,72.79
0.06,FAI69,0.08
0.06,FAI69,-0.08
0.06,FAI69,72.87
0.06,FAI69,72.71000000000001
0.06,FAI69,4.6385
0.06,FAI69,5.9152
0.06,FAI69,72.7764
0.06,FAI69,72.7677
0.06,FAI69,-0.0173
0.06,FAI69,1.0
0.06,FAI70,44.57
0.06,FAI70,0.08
0.06,FAI70,-0.08
0.06,FAI70,44.65
0.06,FAI70,44.49
0.06,FAI70,17.084
0.06,FAI70,18.9035
0.06,FAI70,44.5638
0.06,FAI70,44.561
0.06,FAI70,-0.0077
0.06,FAI70,1.0
0.06,FAI71,2.43
0.06,FAI71,0.08
0.06,FAI71,-0.08
0.06,FAI71,2.51
0.06,FAI71,2.35
0.06,FAI71,3.4486
0.06,FAI71,8.2849
0.06,FAI71,2.3867
0.06,FAI71,2.3803
0.06,FAI71,-0.0467
0.06,FAI71,1.0
0.06,FAI72_DOE_1,0.0855
0.06,FAI72_DOE_1,0.01
0.06,FAI72_DOE_1,-0.01
0.06,FAI72_DOE_1,0.0955
0.06,FAI72_DOE_1,0.07550000000000001
0.06,FAI72_DOE_1,1.4494
0.06,FAI72_DOE_1,1.5098
0.06,FAI72_DOE_1,0.0884
0.06,FAI72_DOE_1,0.08
0.06,FAI72_DOE_1,-0.0004
0.06,FAI72_DOE_1,1.0
0.06,FAI72_DOE_2,0.0855
0.06,FAI72_DOE_2,0.01
0.06,FAI72_DOE_2,-0.01
0.06,FAI72_DOE_2,0.0955
0.06,FAI72_DOE_2,0.07550000000000001
0.06,FAI72_DOE_2,1.5462
0.06,FAI72_DOE_2,1.8164
0.06,FAI72_DOE_2,0.0869
0.06,FAI72_DOE_2,0.0802
0.06,FAI72_DOE_2,-0.0015
0.06,FAI72_DOE_2,1.0
0.06,FAI72_DOE_3,0.0855
0.06,FAI72_DOE_3,0.01
0.06,FAI72_DOE_3,-0.01
0.06,FAI72_DOE_3,0.0955
0.06,FAI72_DOE_3,0.07550000000000001
0.06,FAI72_DOE_3,0.1164
0.06,FAI72_DOE_3,0.54
0.06,FAI72_DOE_3,0.0869
0.06,FAI72_DOE_3,0.0667
0.06,FAI72_DOE_3,-0.0078
0.06,FAI72_DOE_3,0.6346
0.06,FAI73_DOE_1,0.183
0.06,FAI73_DOE_1,0.01
0.06,FAI73_DOE_1,-0.01
0.06,FAI73_DOE_1,0.193
0.06,FAI73_DOE_1,0.173
0.06,FAI73_DOE_1,0.4241
0.06,FAI73_DOE_1,0.5885
0.06,FAI73_DOE_1,0.1939
0.06,FAI73_DOE_1,0.1699
0.06,FAI73_DOE_1,0.0028
0.06,FAI73_DOE_1,0.8864
0.06,FAI73_DOE_2,0.183
0.06,FAI73_DOE_2,0.01
0.06,FAI73_DOE_2,-0.01
0.06,FAI73_DOE_2,0.193
0.06,FAI73_DOE_2,0.173
0.06,FAI73_DOE_2,-0.072
0.06,FAI73_DOE_2,0.4249
0.06,FAI73_DOE_2,0.2026
0.06,FAI73_DOE_2,0.1711
0.06,FAI73_DOE_2,0.0117
0.06,FAI73_DOE_2,0.4117
0.06,FAI73_DOE_3,0.183
0.06,FAI73_DOE_3,0.01
0.06,FAI73_DOE_3,-0.01
0.06,FAI73_DOE_3,0.193
0.06,FAI73_DOE_3,0.173
0.06,FAI73_DOE_3,-0.3014
0.06,FAI73_DOE_3,1.046
0.06,FAI73_DOE_3,0.1742
0.06,FAI73_DOE_3,0.162
0.06,FAI73_DOE_3,-0.0129
0.06,FAI73_DOE_3,0.183
0.06,FAI73_DOE_4,0.183
0.06,FAI73_DOE_4,0.01
0.06,FAI73_DOE_4,-0.01
0.06,FAI73_DOE_4,0.193
0.06,FAI73_DOE_4,0.173
0.06,FAI73_DOE_4,-1.1246
0.06,FAI73_DOE_4,1.6661
0.06,FAI73_DOE_4,0.17
0.06,FAI73_DOE_4,0.1624
0.06,FAI73_DOE_4,-0.0168
0.06,FAI73_DOE_4,0.0004
0.06,FAI73_DOE_5,0.183
0.06,FAI73_DOE_5,0.01
0.06,FAI73_DOE_5,-0.01
0.06,FAI73_DOE_5,0.193
0.06,FAI73_DOE_5,0.173
0.06,FAI73_DOE_5,0.0874
0.06,FAI73_DOE_5,0.9203
0.06,FAI73_DOE_5,0.1987
0.06,FAI73_DOE_5,0.1868
0.06,FAI73_DOE_5,0.0091
0.06,FAI73_DOE_5,0.6035
0.06,FAI73_DOE_6,0.183
0.06,FAI73_DOE_6,0.01
0.06,FAI73_DOE_6,-0.01
0.06,FAI73_DOE_6,0.193
0.06,FAI73_DOE_6,0.173
0.06,FAI73_DOE_6,0.0143
0.06,FAI73_DOE_6,0.3012
0.06,FAI73_DOE_6,0.2009
0.06,FAI73_DOE_6,0.1668
