"Stage","FAI","Data"
"trail_1","FAI7","0.13884"
"trail_1","FAI44","0.01786"
"trail_1","FAI45","0.05883"
"trail_1","FAI72_T3A","0.02247"
"trail_1","FAI72_T3B","0.01253"
"trail_1","FAI72_T4A","0.01407"
"trail_1","FAI72_T4B","0.0055"
"trail_1","FAI72_T9A","0.02149"
"trail_1","FAI72_T9B","0.01143"
"trail_1","FAI73_T12","0.12414"
"trail_1","FAI73_T1","0.07584"
"trail_1","FAI73_T2A","0.10792"
"trail_1","FAI73_T2B","0.06836"
"trail_1","FAI73_T5A","0.14431"
"trail_1","FAI73_T5B","0.17086"
"trail_1","FAI73_T6","0.12161"
"trail_1","FAI73_T7A","0.12506"
"trail_1","FAI73_T7B","0.09739"
"trail_1","FAI73_T7C","0.12002"
"trail_1","FAI73_T10A","0.15277"
"trail_1","FAI73_T10B","0.1036"
"trail_1","FAI73_T11","0.12892"
"trail_1","FAI72DOE_1","2.0160000000000001E-2"
"trail_1","FAI72DOE_2","0.05503"
"trail_1","FAI72DOE_3","0.0508"
"trail_1","FAI73DOE_1","0.15712"
"trail_1","FAI73DOE_2","0.20842"
"trail_1","FAI73DOE_3","0.13261"
"trail_1","FAI73DOE_4","0.1439"
"trail_1","FAI73DOE_5","0.14742"
"trail_1","FAI73DOE_6","0.16367"
"trail_1","FAI73DOE_7","0.15506"
"trail_1","FAI73DOE_8","0.17017"
"trail_1","FAI73DOE_9","0.16237"
"trail_1","FAI73DOE_10","0.18207"
"trail_1","FAI73DOE_11","0.19118"
"trail_1","FAI73DOE_12","0.16181"
"trail_1","FAI16","40.39477"
"trail_1","FAI17","34.00275"
"trail_1","FAI19","23.12752"
"trail_1","FAI21","20.61729"
"trail_1","FAI22","12.52747"
"trail_1","FAI23","0.43726"
"trail_1","FAI24","4.4993"
"trail_1","FAI25","121.28471"
"trail_1","FAI26","115.33803"
"trail_1","FAI27","113.53557"
"trail_1","FAI28","111.05255"
"trail_1","FAI30","2.70878"
"trail_1","FAI31","0.67601"
"trail_1","FAI33","84.13482"
"trail_1","FAI34","80.50949"
"trail_1","FAI35","71.16115"
"trail_1","FAI36","62.41668"
"trail_1","FAI37","56.26235"
"trail_1","FAI38","3.88815"
"trail_1","FAI39","1.11116"
"trail_1","FAI40","42.76735"
"trail_1","FAI41","4.22963"
"trail_1","FAI42","13.88444"
"trail_1","FAI10_1","18.06593"
"trail_1","FAI10_2","18.05694"
"trail_1","FAI10_3","18.05331"
"trail_1","FAI11_1","3.01182"
"trail_1","FAI11_2","2.9809"
"trail_1","FAI11_3","2.96306"
"trail_1","FAI12","29.42904"
"trail_1","FAI13","15.03792"
"trail_1","FAI14","13.9614"
"trail_1","FAI15","43.38595"
"trail_1","FAI18","25.01719"
"trail_1","FAI20","22.21791"
"trail_1","FAI29","109.14997"
"trail_1","FAI32","85.84492"
"trail_1","FAI47","5.73419"
"trail_1","FAI48","17.64554"
"trail_1","FAI49","92.5579"
"trail_1","FAI50","115.19876"
"trail_1","FAI51","107.63927"
"trail_1","FAI52","81.41114"
"trail_1","FAI53","76.95456"
"trail_1","FAI54","68.4242"
"trail_1","FAI55_1","15.75807"
"trail_1","FAI55_2","15.77399"
"trail_1","FAI56","122.78852"
"trail_1","FAI57","116.95335"
"trail_1","FAI58","42.15859"
"trail_1","FAI59","43.39064"
"trail_1","FAI61","115.92734"
"trail_1","FAI62","109.16056"
"trail_1","FAI63","28.4613"
"trail_1","FAI64","45.16257"
"trail_1","FAI65","44.58506"
"trail_1","FAI66","41.23422"
"trail_1","FAI67","78.73217"
"trail_1","FAI68","77.01998"
"trail_1","FAI69","72.77222"
"trail_1","FAI70","44.58709"
"trail_1","FAI71","2.39949"
"trail_1","FAI43","1.06584"
"trail_1","SourceSheet","data4"
"trail_1","FAI1",NA
"trail_1","FAI2",NA
"trail_1","FAI4",NA
"trail_1","FAI5",NA
"trail_1","startTime","1899-12-31 00:52:43.4"
"trail_1","bin","19"
"trail_1","fixture1","#103"
"trail_1","fixture","#113"
"trail_1","FAI3_1","0.06061"
"trail_1","FAI3_2","0.06439"
"trail_1","FAI3_3","0.06251"
"trail_1","FAI3_4","0.06682"
"trail_1","FAI3_5","0.0689"
"trail_1","FAI3_6","0.06958"
"trail_1","FAI7","0.1245"
"trail_1","FAI44","0.03439"
"trail_1","FAI45","0.05249"
"trail_1","FAI72_T3A","0.05751"
"trail_1","FAI72_T3B","0.10017"
"trail_1","FAI72_T4A","0.06473"
"trail_1","FAI72_T4B","0.08883"
"trail_1","FAI72_T9A","0.06776"
"trail_1","FAI72_T9B","0.0631"
"trail_1","FAI73_T12","0.13637"
"trail_1","FAI73_T1","0.15852"
"trail_1","FAI73_T2A","0.14275"
"trail_1","FAI73_T2B","0.16546"
"trail_1","FAI73_T5A","0.15989"
"trail_1","FAI73_T5B","0.19687"
"trail_1","FAI73_T6","0.13631"
"trail_1","FAI73_T7A","0.13792"
"trail_1","FAI73_T7B","0.14627"
"trail_1","FAI73_T7C","0.16297"
"trail_1","FAI73_T10A","0.15815"
"trail_1","FAI73_T10B","0.16226"
"trail_1","FAI73_T11","0.14342"
"trail_1","FAI72DOE_1","8.0460000000000004E-2"
"trail_1","FAI72DOE_2","0.07836"
"trail_1","FAI72DOE_3","0.07966"
"trail_1","FAI73DOE_1","0.14615"
"trail_1","FAI73DOE_2","0.19647"
"trail_1","FAI73DOE_3","0.15673"
"trail_1","FAI73DOE_4","0.15928"
"trail_1","FAI73DOE_5","0.18863"
"trail_1","FAI73DOE_6","0.16192"
"trail_1","FAI73DOE_7","0.15928"
"trail_1","FAI73DOE_8","0.15131"
"trail_1","FAI73DOE_9","0.16752"
"trail_1","FAI73DOE_10","0.17501"
"trail_1","FAI73DOE_11","0.1883"
"trail_1","FAI73DOE_12","0.1768"
"trail_1","FAI16","40.40988"
"trail_1","FAI17","34.0149"
"trail_1","FAI19","23.16445"
"trail_1","FAI21","20.57663"
"trail_1","FAI22","12.54029"
"trail_1","FAI23","0.41112"
"trail_1","FAI24","4.48062"
"trail_1","FAI25","121.26892"
"trail_1","FAI26","115.32326"
"trail_1","FAI27","113.54152"
"trail_1","FAI28","111.03453"
"trail_1","FAI30","2.69884"
"trail_1","FAI31","0.67715"
"trail_1","FAI33","84.12706"
"trail_1","FAI34","80.50766"
"trail_1","FAI35","71.14939"
"trail_1","FAI36","62.42693"
"trail_1","FAI37","56.27654"
"trail_1","FAI38","3.87337"
"trail_1","FAI39","1.15014"
"trail_1","FAI40","42.72689"
"trail_1","FAI41","4.19931"
"trail_1","FAI42","13.89982"
"trail_1","FAI10_1","18.06796"
"trail_1","FAI10_2","18.05723"
"trail_1","FAI10_3","18.05507"
"trail_1","FAI11_1","3.01252"
"trail_1","FAI11_2","2.98115"
"trail_1","FAI11_3","2.96073"
"trail_1","FAI12","29.43045"
"trail_1","FAI13","15.04107"
"trail_1","FAI14","13.97236"
"trail_1","FAI15","43.40102"
"trail_1","FAI18","25.02793"
"trail_1","FAI20","22.22601"
"trail_1","FAI29","109.15251"
"trail_1","FAI32","85.84633"
"trail_1","FAI47","5.7341"
"trail_1","FAI48","17.65367"
"trail_1","FAI49","92.56298"
"trail_1","FAI50","115.20989"
"trail_1","FAI51","107.64532"
"trail_1","FAI52","81.41896"
"trail_1","FAI53","76.9629"
"trail_1","FAI54","68.42846"
"trail_1","FAI55_1","15.75138"
"trail_1","FAI55_2","15.76772"
"trail_1","FAI56","122.7922"
"trail_1","FAI57","116.96141"
"trail_1","FAI58","42.17054"
"trail_1","FAI59","43.40551"
"trail_1","FAI61","115.92828"
"trail_1","FAI62","109.16249"
"trail_1","FAI63","28.46024"
"trail_1","FAI64","45.17073"
"trail_1","FAI65","44.58369"
"trail_1","FAI66","41.23201"
"trail_1","FAI67","78.73831"
"trail_1","FAI68","77.02509"
"trail_1","FAI69","72.77962"
"trail_1","FAI70","44.58485"
"trail_1","FAI71","2.39212"
"trail_1","FAI43","1.05113"
"trail_1","SourceSheet","data4"
"trail_1","FAI1",NA
"trail_1","FAI2",NA
"trail_1","FAI4",NA
"trail_1","FAI5",NA
"trail_1","startTime","1899-12-31 00:52:39.4"
"trail_1","bin","20"
"trail_1","fixture1","#104"
"trail_1","fixture","#114"
"trail_1","FAI3_1","0.05756"
"trail_1","FAI3_2","0.05783"
"trail_1","FAI3_3","0.058"
"trail_1","FAI3_4","0.0481"
"trail_1","FAI3_5","0.04972"
"trail_1","FAI3_6","0.05255"
"trail_1","FAI7","0.20917"
"trail_1","FAI44","0.02274"
"trail_1","FAI45","0.07543"
"trail_1","FAI72_T3A","0.00068"
"trail_1","FAI72_T3B","0.0324"
"trail_1","FAI72_T4A","0.00422"
"trail_1","FAI72_T4B","0.00125"
"trail_1","FAI72_T9A","0.00902"
"trail_1","FAI72_T9B","0.03015"
"trail_1","FAI73_T12","0.11668"
"trail_1","FAI73_T1","0.09139"
"trail_1","FAI73_T2A","0.12905"
"trail_1","FAI73_T2B","0.07507"
"trail_1","FAI73_T5A","0.14748"
"trail_1","FAI73_T5B","0.18758"
"trail_1","FAI73_T6","0.11173"
"trail_1","FAI73_T7A","0.12688"
"trail_1","FAI73_T7B","0.1052"
"trail_1","FAI73_T7C","0.14031"
"trail_1","FAI73_T10A","0.16751"
"trail_1","FAI73_T10B","0.11946"
"trail_1","FAI73_T11","0.12947"
"trail_1","FAI72DOE_1","6.1289999999999997E-2"
"trail_1","FAI72DOE_2","0.05878"
"trail_1","FAI72DOE_3","0.05021"
"trail_1","FAI73DOE_1","0.1586"
"trail_1","FAI73DOE_2","0.23809"
"trail_1","FAI73DOE_3","0.12857"
"trail_1","FAI73DOE_4","0.12899"
"trail_1","FAI73DOE_5","0.14663"
"trail_1","FAI73DOE_6","0.15495"
"trail_1","FAI73DOE_7","0.15005"
"trail_1","FAI73DOE_8","0.16922"
"trail_1","FAI73DOE_9","0.1553"
"trail_1","FAI73DOE_10","0.1825"
"trail_1","FAI73DOE_11","0.18786"
"trail_1","FAI73DOE_12","0.17902"
"trail_1","FAI16","40.42201"
"trail_1","FAI17","33.94652"
"trail_1","FAI19","23.15151"
"trail_1","FAI21","20.62621"
"trail_1","FAI22","12.51898"
"trail_1","FAI23","0.40772"
"trail_1","FAI24","4.47719"
"trail_1","FAI25","121.27523"
"trail_1","FAI26","115.34589"
"trail_1","FAI27","113.55202"
"trail_1","FAI28","111.04747"
"trail_1","FAI30","2.68086"
"trail_1","FAI31","0.65207"
"trail_1","FAI33","84.13684"
"trail_1","FAI34","80.51855"
"trail_1","FAI35","71.16498"
"trail_1","FAI36","62.42582"
"trail_1","FAI37","56.28471"
"trail_1","FAI38","3.56073"
"trail_1","FAI39","1.1219"
"trail_1","FAI40","42.7782"
"trail_1","FAI41","4.23464"
"trail_1","FAI42","13.87668"
"trail_1","FAI10_1","18.06727"
"trail_1","FAI10_2","18.05775"
"trail_1","FAI10_3","18.05278"
"trail_1","FAI11_1","3.01345"
"trail_1","FAI11_2","2.9831"
"trail_1","FAI11_3","2.96426"
"trail_1","FAI12","29.43134"
"trail_1","FAI13","15.03574"
"trail_1","FAI14","13.96346"
"trail_1","FAI15","43.36248"
"trail_1","FAI18","25.00851"
"trail_1","FAI20","22.21065"
"trail_1","FAI29","109.14581"
"trail_1","FAI32","85.84252"
"trail_1","FAI47","5.73439"
"trail_1","FAI48","17.6407"
"trail_1","FAI49","92.55507"
"trail_1","FAI50","115.1982"
"trail_1","FAI51","107.6321"
"trail_1","FAI52","81.40787"
"trail_1","FAI53","76.95013"
"trail_1","FAI54","68.41846"
"trail_1","FAI55_1","15.76237"
"trail_1","FAI55_2","15.77812"
"trail_1","FAI56","122.78281"
"trail_1","FAI57","116.94923"
"trail_1","FAI58","42.145"
"trail_1","FAI59","43.36471"
"trail_1","FAI61","115.92334"
"trail_1","FAI62","109.1566"
"trail_1","FAI63","28.48837"
"trail_1","FAI64","45.15537"
"trail_1","FAI65","44.57872"
"trail_1","FAI66","41.2573"
"trail_1","FAI67","78.72107"
"trail_1","FAI68","77.00831"
"trail_1","FAI69","72.76027"
"trail_1","FAI70","44.58163"
"trail_1","FAI71","2.40282"
"trail_1","FAI43","1.13371"
"trail_1","SourceSheet","data4"
"trail_1","FAI1",NA
"trail_1","FAI2",NA
"trail_1","FAI4",NA
"trail_1","FAI5",NA
"trail_1","startTime","1899-12-31 00:53:05.4"
"trail_1","bin","21"
"trail_1","fixture1","#103"
"trail_1","fixture","#113"
"trail_1","FAI3_1","0.05933"
"trail_1","FAI3_2","0.063"
"trail_1","FAI3_3","0.06262"
"trail_1","FAI3_4","0.06567"
"trail_1","FAI3_5","0.06411"
"trail_1","FAI3_6","0.06664"
"trail_1","FAI7","0.12869"
"trail_1","FAI44","0.02924"
"trail_1","FAI45","0.06629"
"trail_1","FAI72_T3A","0.0577"
"trail_1","FAI72_T3B","0.09559"
"trail_1","FAI72_T4A","0.06805"
"trail_1","FAI72_T4B","0.08942"
"trail_1","FAI72_T9A","0.06757"
"trail_1","FAI72_T9B","0.06079"
"trail_1","FAI73_T12","0.13559"
"trail_1","FAI73_T1","0.15941"
"trail_1","FAI73_T2A","0.15702"
"trail_1","FAI73_T2B","0.16455"
"trail_1","FAI73_T5A","0.15774"
"trail_1","FAI73_T5B","0.20769"
"trail_1","FAI73_T6","0.13187"
"trail_1","FAI73_T7A","0.13174"
"trail_1","FAI73_T7B","0.14131"
"trail_1","FAI73_T7C","0.17041"
"trail_1","FAI73_T10A","0.16526"
"trail_1","FAI73_T10B","0.16857"
"trail_1","FAI73_T11","0.13781"
"trail_1","FAI72DOE_1","8.8660000000000003E-2"
"trail_1","FAI72DOE_2","0.07462"
"trail_1","FAI72DOE_3","0.07922"
"trail_1","FAI73DOE_1","0.14606"
"trail_1","FAI73DOE_2","0.1969"
"trail_1","FAI73DOE_3","0.159"
"trail_1","FAI73DOE_4","0.16019"
"trail_1","FAI73DOE_5","0.17998"
"trail_1","FAI73DOE_6","0.15648"
"trail_1","FAI73DOE_7","0.15018"
"trail_1","FAI73DOE_8","0.16772"
"trail_1","FAI73DOE_9","0.16473"
"trail_1","FAI73DOE_10","0.17875"
"trail_1","FAI73DOE_11","0.18444"
"trail_1","FAI73DOE_12","0.17646"
"trail_1","FAI16","40.40031"
"trail_1","FAI17","34.01437"
"trail_1","FAI19","23.15289"
"trail_1","FAI21","20.57614"
"trail_1","FAI22","12.54688"
