category_fixture,FAI,Data
V1,FAI13,15.0258
V1,FAI13,15.0337
V1,FAI13,15.0404
V1,FAI13,15.0352
V1,FAI13,15.0365
V1,FAI13,14.9874
V1,FAI13,15.0085
V1,FAI13,15.0191
V1,FAI13,15.0268
V1,FAI13,15.0176
V1,FAI13,15.0347
V1,FAI13,15.0446
V1,FAI13,15.0221
V1,FAI13,14.9867
V1,FAI13,14.9782
V1,FAI13,15.0329
V1,FAI13,15.0312
V1,FAI13,15.0229
V1,FAI13,15.0132
V1,FAI13,15.0484
V1,FAI13,15.056
V1,FAI13,15.0275
V1,FAI13,15.0203
V1,FAI13,15.041
V1,FAI13,14.9948
V1,FAI13,14.9893
V1,FAI13,15.0428
V1,FAI13,15.0541
V1,FAI13,14.9987
V1,FAI13,15.0637
V1,FAI13,15.0404
V1,FAI13,15.0235
V2,FAI13,15.0623
V2,FAI13,15.0614
V2,FAI13,15.0376
V2,FAI13,15.0327
V2,FAI13,15.0338
V2,FAI13,15.0334
V2,FAI13,15.0237
V2,FAI13,15.0386
V2,FAI13,15.0294
V2,FAI13,15.0569
V2,FAI13,15.022
V2,FAI13,15.0226
V2,FAI13,15.0329
V2,FAI13,15.0249
V2,FAI13,15.0189
V2,FAI13,15.0173
V2,FAI13,15.0333
V2,FAI13,15.0285
V2,FAI13,15.0404
V2,FAI13,15.0228
V2,FAI13,15.041
V2,FAI13,15.0343
V2,FAI13,15.0232
V2,FAI13,15.0365
V2,FAI13,15.0358
V2,FAI13,15.0436
V2,FAI13,14.9855
V2,FAI13,15.0279
V2,FAI13,15.0283
V2,FAI13,15.033
V2,FAI13,15.0284
V2,FAI13,15.0276
V2,FAI13,15.04
V2,FAI13,15.0232
V2,FAI13,15.0288
V2,FAI13,15.0285
V2,FAI13,15.0374
V2,FAI13,15.0259
V2,FAI13,15.0681
V2,FAI13,15.0271
V3,FAI13,15.0271
V3,FAI13,15.04
V3,FAI13,15.0294
V3,FAI13,15.0339
V3,FAI13,15.0622
V3,FAI13,15.063
V3,FAI13,15.0535
V3,FAI13,15.0446
V3,FAI13,15.018
V3,FAI13,15.0322
V1,FAI14,14.0865
V1,FAI14,14.0684
V1,FAI14,14.0538
V1,FAI14,14.0366
V1,FAI14,14.0385
V1,FAI14,14.0058
V1,FAI14,14.0236
V1,FAI14,14.0516
V1,FAI14,14.0445
V1,FAI14,14.0673
V1,FAI14,14.0814
V1,FAI14,14.0381
V1,FAI14,14.0396
V1,FAI14,14.004
V1,FAI14,14.022
V1,FAI14,14.0695
V1,FAI14,14.052
V1,FAI14,14.0686
V1,FAI14,14.043
V1,FAI14,14.0428
V1,FAI14,14.0555
V1,FAI14,14.0467
V1,FAI14,14.0668
V1,FAI14,13.9957
V1,FAI14,14.0175
V1,FAI14,14.0333
V1,FAI14,14.0319
V1,FAI14,14.0306
V1,FAI14,14.0516
V1,FAI14,14.0568
V1,FAI14,14.0369
V1,FAI14,13.9976
V1,FAI14,13.987
V1,FAI14,14.042
V1,FAI14,14.0411
V1,FAI14,14.0423
V1,FAI14,14.0199
V1,FAI14,14.0649
V1,FAI14,14.0684
V1,FAI14,14.0396
V1,FAI14,14.0603
V1,FAI14,14.0499
V1,FAI14,14.0051
V1,FAI14,13.9938
V1,FAI14,14.0497
V1,FAI14,14.0537
V1,FAI14,14.0115
V1,FAI14,14.0688
V1,FAI14,14.0539
V1,FAI14,14.042
V2,FAI14,14.0644
V2,FAI14,14.0657
V2,FAI14,14.0438
V2,FAI14,14.041
V2,FAI14,14.0384
V2,FAI14,14.0333
V2,FAI14,14.0187
V2,FAI14,14.0378
V2,FAI14,14.0355
V2,FAI14,14.0752
V2,FAI14,14.0196
V2,FAI14,14.0276
V2,FAI14,14.032
V2,FAI14,14.0303
V2,FAI14,14.0173
V2,FAI14,14.0205
V2,FAI14,14.0311
V2,FAI14,14.0317
V2,FAI14,14.0417
V2,FAI14,14.0228
V2,FAI14,14.0425
V2,FAI14,14.0438
V2,FAI14,14.0328
V2,FAI14,14.0386
V2,FAI14,14.0441
V2,FAI14,14.0619
V2,FAI14,13.9912
V2,FAI14,14.033
V2,FAI14,14.0323
V2,FAI14,14.0389
V2,FAI14,14.04
V2,FAI14,14.0408
V2,FAI14,14.0374
V2,FAI14,14.0319
V2,FAI14,14.0352
V2,FAI14,14.0383
V2,FAI14,14.0485
V2,FAI14,14.0356
V2,FAI14,14.0624
V2,FAI14,14.037
V3,FAI14,14.0342
V3,FAI14,14.0415
V3,FAI14,14.0388
V3,FAI14,14.0428
V3,FAI14,14.0635
V3,FAI14,14.0598
V3,FAI14,14.052
V3,FAI14,14.0561
V3,FAI14,14.0225
V3,FAI14,14.0381
